Source,Target,Type
2,1,Undirected
3,1,Undirected
4,1,Undirected
5,1,Undirected
6,1,Undirected
7,1,Undirected
8,1,Undirected
9,1,Undirected
10,1,Undirected
11,1,Undirected
12,1,Undirected
13,1,Undirected
14,1,Undirected
15,1,Undirected
16,1,Undirected
17,1,Undirected
18,1,Undirected
19,1,Undirected
20,1,Undirected
21,1,Undirected
22,1,Undirected
23,1,Undirected
24,1,Undirected
25,1,Undirected
26,1,Undirected
27,1,Undirected
28,1,Undirected
29,1,Undirected
30,1,Undirected
31,1,Undirected
3,2,Undirected
4,2,Undirected
6,2,Undirected
7,2,Undirected
8,2,Undirected
9,2,Undirected
10,2,Undirected
11,2,Undirected
13,2,Undirected
16,2,Undirected
18,2,Undirected
19,2,Undirected
20,2,Undirected
22,2,Undirected
24,2,Undirected
32,2,Undirected
33,2,Undirected
34,2,Undirected
35,2,Undirected
36,2,Undirected
37,2,Undirected
38,2,Undirected
4,3,Undirected
6,3,Undirected
7,3,Undirected
8,3,Undirected
9,3,Undirected
11,3,Undirected
12,3,Undirected
13,3,Undirected
16,3,Undirected
18,3,Undirected
19,3,Undirected
20,3,Undirected
21,3,Undirected
22,3,Undirected
23,3,Undirected
27,3,Undirected
28,3,Undirected
34,3,Undirected
39,3,Undirected
40,3,Undirected
41,3,Undirected
42,3,Undirected
43,3,Undirected
44,3,Undirected
45,3,Undirected
46,3,Undirected
47,3,Undirected
48,3,Undirected
49,3,Undirected
50,3,Undirected
51,3,Undirected
52,3,Undirected
53,3,Undirected
54,3,Undirected
55,3,Undirected
56,3,Undirected
11,4,Undirected
22,4,Undirected
46,4,Undirected
57,4,Undirected
58,4,Undirected
59,4,Undirected
60,4,Undirected
61,4,Undirected
62,4,Undirected
63,4,Undirected
64,4,Undirected
65,4,Undirected
66,4,Undirected
67,4,Undirected
68,4,Undirected
69,4,Undirected
70,4,Undirected
71,4,Undirected
72,4,Undirected
6,5,Undirected
13,5,Undirected
73,5,Undirected
74,5,Undirected
75,5,Undirected
76,5,Undirected
77,5,Undirected
78,5,Undirected
79,5,Undirected
7,6,Undirected
8,6,Undirected
13,6,Undirected
16,6,Undirected
18,6,Undirected
22,6,Undirected
27,6,Undirected
28,6,Undirected
34,6,Undirected
80,6,Undirected
81,6,Undirected
82,6,Undirected
83,6,Undirected
84,6,Undirected
85,6,Undirected
86,6,Undirected
87,6,Undirected
9,7,Undirected
10,7,Undirected
13,7,Undirected
15,7,Undirected
16,7,Undirected
19,7,Undirected
22,7,Undirected
28,7,Undirected
76,7,Undirected
88,7,Undirected
89,7,Undirected
90,7,Undirected
91,7,Undirected
92,7,Undirected
93,7,Undirected
94,7,Undirected
95,7,Undirected
96,7,Undirected
97,7,Undirected
98,7,Undirected
99,7,Undirected
100,7,Undirected
22,8,Undirected
28,8,Undirected
101,8,Undirected
102,8,Undirected
10,9,Undirected
13,9,Undirected
16,9,Undirected
21,9,Undirected
22,9,Undirected
24,9,Undirected
30,9,Undirected
41,9,Undirected
103,9,Undirected
104,9,Undirected
105,9,Undirected
106,9,Undirected
107,9,Undirected
16,10,Undirected
24,10,Undirected
30,10,Undirected
34,10,Undirected
70,10,Undirected
108,10,Undirected
109,10,Undirected
110,10,Undirected
111,10,Undirected
112,10,Undirected
113,10,Undirected
114,10,Undirected
115,10,Undirected
116,10,Undirected
117,10,Undirected
118,10,Undirected
119,10,Undirected
120,10,Undirected
121,10,Undirected
122,10,Undirected
123,10,Undirected
124,10,Undirected
125,10,Undirected
126,10,Undirected
127,10,Undirected
128,10,Undirected
129,10,Undirected
130,10,Undirected
18,11,Undirected
19,11,Undirected
20,11,Undirected
22,11,Undirected
25,11,Undirected
27,11,Undirected
45,11,Undirected
73,11,Undirected
131,11,Undirected
132,11,Undirected
133,11,Undirected
134,11,Undirected
135,11,Undirected
136,11,Undirected
137,11,Undirected
138,11,Undirected
84,12,Undirected
139,12,Undirected
140,12,Undirected
141,12,Undirected
142,12,Undirected
143,12,Undirected
144,12,Undirected
145,12,Undirected
146,12,Undirected
147,12,Undirected
148,12,Undirected
149,12,Undirected
150,12,Undirected
151,12,Undirected
152,12,Undirected
153,12,Undirected
14,13,Undirected
16,13,Undirected
18,13,Undirected
22,13,Undirected
24,13,Undirected
28,13,Undirected
45,13,Undirected
69,13,Undirected
76,13,Undirected
106,13,Undirected
153,13,Undirected
154,13,Undirected
155,13,Undirected
156,13,Undirected
157,13,Undirected
158,13,Undirected
159,13,Undirected
160,13,Undirected
15,14,Undirected
16,14,Undirected
24,14,Undirected
33,14,Undirected
34,14,Undirected
80,14,Undirected
107,14,Undirected
110,14,Undirected
112,14,Undirected
123,14,Undirected
124,14,Undirected
136,14,Undirected
161,14,Undirected
162,14,Undirected
163,14,Undirected
164,14,Undirected
165,14,Undirected
166,14,Undirected
167,14,Undirected
168,14,Undirected
169,14,Undirected
170,14,Undirected
171,14,Undirected
172,14,Undirected
173,14,Undirected
174,14,Undirected
175,14,Undirected
176,14,Undirected
177,14,Undirected
178,14,Undirected
179,14,Undirected
180,14,Undirected
181,14,Undirected
182,14,Undirected
23,15,Undirected
33,15,Undirected
34,15,Undirected
76,15,Undirected
93,15,Undirected
124,15,Undirected
168,15,Undirected
183,15,Undirected
184,15,Undirected
185,15,Undirected
186,15,Undirected
187,15,Undirected
188,15,Undirected
189,15,Undirected
190,15,Undirected
191,15,Undirected
24,16,Undirected
30,16,Undirected
33,16,Undirected
34,16,Undirected
56,16,Undirected
77,16,Undirected
105,16,Undirected
108,16,Undirected
123,16,Undirected
127,16,Undirected
129,16,Undirected
192,16,Undirected
193,16,Undirected
194,16,Undirected
195,16,Undirected
196,16,Undirected
197,16,Undirected
198,16,Undirected
199,16,Undirected
200,16,Undirected
201,16,Undirected
202,16,Undirected
203,16,Undirected
204,16,Undirected
205,16,Undirected
206,16,Undirected
207,16,Undirected
208,16,Undirected
209,16,Undirected
210,16,Undirected
211,16,Undirected
212,16,Undirected
213,16,Undirected
214,16,Undirected
215,16,Undirected
216,16,Undirected
217,16,Undirected
218,16,Undirected
219,16,Undirected
220,16,Undirected
221,16,Undirected
222,16,Undirected
24,17,Undirected
34,17,Undirected
115,17,Undirected
223,17,Undirected
224,17,Undirected
225,17,Undirected
19,18,Undirected
21,18,Undirected
22,18,Undirected
23,18,Undirected
25,18,Undirected
26,18,Undirected
27,18,Undirected
38,18,Undirected
39,18,Undirected
226,18,Undirected
227,18,Undirected
228,18,Undirected
20,19,Undirected
27,19,Undirected
38,19,Undirected
41,19,Undirected
70,19,Undirected
82,19,Undirected
86,19,Undirected
120,19,Undirected
137,19,Undirected
186,19,Undirected
229,19,Undirected
230,19,Undirected
231,19,Undirected
232,19,Undirected
233,19,Undirected
234,19,Undirected
235,19,Undirected
236,19,Undirected
237,19,Undirected
238,19,Undirected
239,19,Undirected
240,19,Undirected
22,20,Undirected
41,20,Undirected
43,20,Undirected
50,20,Undirected
81,20,Undirected
106,20,Undirected
228,20,Undirected
233,20,Undirected
241,20,Undirected
242,20,Undirected
243,20,Undirected
244,20,Undirected
23,21,Undirected
25,21,Undirected
39,21,Undirected
40,21,Undirected
41,21,Undirected
46,21,Undirected
47,21,Undirected
50,21,Undirected
54,21,Undirected
55,21,Undirected
59,21,Undirected
91,21,Undirected
103,21,Undirected
104,21,Undirected
105,21,Undirected
107,21,Undirected
157,21,Undirected
206,21,Undirected
210,21,Undirected
214,21,Undirected
223,21,Undirected
239,21,Undirected
245,21,Undirected
246,21,Undirected
247,21,Undirected
248,21,Undirected
249,21,Undirected
250,21,Undirected
251,21,Undirected
252,21,Undirected
253,21,Undirected
254,21,Undirected
255,21,Undirected
256,21,Undirected
257,21,Undirected
258,21,Undirected
259,21,Undirected
260,21,Undirected
261,21,Undirected
27,22,Undirected
32,22,Undirected
38,22,Undirected
25,23,Undirected
38,23,Undirected
39,23,Undirected
42,23,Undirected
43,23,Undirected
44,23,Undirected
45,23,Undirected
46,23,Undirected
50,23,Undirected
54,23,Undirected
80,23,Undirected
97,23,Undirected
134,23,Undirected
135,23,Undirected
143,23,Undirected
182,23,Undirected
196,23,Undirected
203,23,Undirected
227,23,Undirected
230,23,Undirected
240,23,Undirected
246,23,Undirected
255,23,Undirected
262,23,Undirected
263,23,Undirected
264,23,Undirected
265,23,Undirected
266,23,Undirected
267,23,Undirected
268,23,Undirected
269,23,Undirected
270,23,Undirected
271,23,Undirected
272,23,Undirected
273,23,Undirected
274,23,Undirected
275,23,Undirected
276,23,Undirected
277,23,Undirected
278,23,Undirected
279,23,Undirected
280,23,Undirected
281,23,Undirected
282,23,Undirected
283,23,Undirected
284,23,Undirected
30,24,Undirected
33,24,Undirected
34,24,Undirected
58,24,Undirected
70,24,Undirected
108,24,Undirected
109,24,Undirected
110,24,Undirected
112,24,Undirected
115,24,Undirected
116,24,Undirected
119,24,Undirected
120,24,Undirected
121,24,Undirected
124,24,Undirected
167,24,Undirected
168,24,Undirected
174,24,Undirected
176,24,Undirected
182,24,Undirected
263,24,Undirected
285,24,Undirected
286,24,Undirected
287,24,Undirected
288,24,Undirected
289,24,Undirected
290,24,Undirected
291,24,Undirected
292,24,Undirected
293,24,Undirected
294,24,Undirected
295,24,Undirected
296,24,Undirected
297,24,Undirected
26,25,Undirected
39,25,Undirected
60,25,Undirected
62,25,Undirected
126,25,Undirected
227,25,Undirected
238,25,Undirected
265,25,Undirected
287,25,Undirected
298,25,Undirected
299,25,Undirected
300,25,Undirected
301,25,Undirected
302,25,Undirected
303,25,Undirected
38,27,Undirected
70,27,Undirected
86,27,Undirected
95,27,Undirected
186,27,Undirected
230,27,Undirected
232,27,Undirected
235,27,Undirected
238,27,Undirected
275,27,Undirected
304,27,Undirected
305,27,Undirected
306,27,Undirected
307,27,Undirected
34,28,Undirected
182,28,Undirected
233,28,Undirected
280,28,Undirected
308,28,Undirected
309,28,Undirected
147,29,Undirected
310,29,Undirected
311,29,Undirected
312,29,Undirected
313,29,Undirected
314,29,Undirected
315,29,Undirected
316,29,Undirected
34,30,Undirected
49,30,Undirected
178,30,Undirected
194,30,Undirected
196,30,Undirected
200,30,Undirected
201,30,Undirected
211,30,Undirected
218,30,Undirected
317,30,Undirected
318,30,Undirected
319,30,Undirected
320,30,Undirected
321,30,Undirected
322,30,Undirected
323,30,Undirected
324,30,Undirected
325,30,Undirected
326,30,Undirected
327,30,Undirected
328,30,Undirected
45,31,Undirected
54,31,Undirected
104,31,Undirected
157,31,Undirected
202,31,Undirected
241,31,Undirected
245,31,Undirected
251,31,Undirected
259,31,Undirected
329,31,Undirected
330,31,Undirected
331,31,Undirected
332,31,Undirected
333,31,Undirected
334,31,Undirected
335,31,Undirected
336,31,Undirected
337,31,Undirected
338,31,Undirected
339,31,Undirected
340,31,Undirected
341,32,Undirected
34,33,Undirected
120,33,Undirected
169,33,Undirected
55,34,Undirected
70,34,Undirected
108,34,Undirected
182,34,Undirected
308,34,Undirected
342,34,Undirected
343,34,Undirected
51,38,Undirected
231,38,Undirected
233,38,Undirected
237,38,Undirected
241,38,Undirected
254,38,Undirected
270,38,Undirected
275,38,Undirected
330,38,Undirected
344,38,Undirected
345,38,Undirected
346,38,Undirected
347,38,Undirected
348,38,Undirected
349,38,Undirected
350,38,Undirected
351,38,Undirected
352,38,Undirected
353,38,Undirected
41,39,Undirected
42,39,Undirected
43,39,Undirected
45,39,Undirected
46,39,Undirected
50,39,Undirected
52,39,Undirected
105,39,Undirected
107,39,Undirected
227,39,Undirected
240,39,Undirected
245,39,Undirected
246,39,Undirected
250,39,Undirected
265,39,Undirected
313,39,Undirected
