Source,Target,Type
7,1,Undirected
60,1,Undirected
66,1,Undirected
88,1,Undirected
95,1,Undirected
101,1,Undirected
132,1,Undirected
144,1,Undirected
148,1,Undirected
166,1,Undirected
213,1,Undirected
240,1,Undirected
243,1,Undirected
263,1,Undirected
295,1,Undirected
309,1,Undirected
342,1,Undirected
493,1,Undirected
514,1,Undirected
527,1,Undirected
533,1,Undirected
581,1,Undirected
636,1,Undirected
653,1,Undirected
664,1,Undirected
696,1,Undirected
718,1,Undirected
727,1,Undirected
741,1,Undirected
762,1,Undirected
782,1,Undirected
822,1,Undirected
841,1,Undirected
893,1,Undirected
933,1,Undirected
939,1,Undirected
958,1,Undirected
960,1,Undirected
966,1,Undirected
972,1,Undirected
974,1,Undirected
975,1,Undirected
996,1,Undirected
1030,1,Undirected
1032,1,Undirected
1046,1,Undirected
1077,1,Undirected
1089,1,Undirected
1119,1,Undirected
1155,1,Undirected
1203,1,Undirected
1215,1,Undirected
1232,1,Undirected
1259,1,Undirected
1268,1,Undirected
1285,1,Undirected
1340,1,Undirected
1342,1,Undirected
1364,1,Undirected
1385,1,Undirected
1397,1,Undirected
1402,1,Undirected
1473,1,Undirected
1542,1,Undirected
1558,1,Undirected
1567,1,Undirected
1613,1,Undirected
1625,1,Undirected
1682,1,Undirected
1684,1,Undirected
1687,1,Undirected
1719,1,Undirected
1785,1,Undirected
1807,1,Undirected
1810,1,Undirected
1886,1,Undirected
1957,1,Undirected
1973,1,Undirected
2070,1,Undirected
2080,1,Undirected
2115,1,Undirected
2116,1,Undirected
2120,1,Undirected
2121,1,Undirected
2212,1,Undirected
2266,1,Undirected
2282,1,Undirected
2292,1,Undirected
2299,1,Undirected
2327,1,Undirected
2356,1,Undirected
2359,1,Undirected
2398,1,Undirected
2482,1,Undirected
2501,1,Undirected
2534,1,Undirected
2546,1,Undirected
2577,1,Undirected
2579,1,Undirected
2580,1,Undirected
2592,1,Undirected
3,2,Undirected
17,2,Undirected
48,2,Undirected
68,2,Undirected
86,2,Undirected
92,2,Undirected
93,2,Undirected
99,2,Undirected
106,2,Undirected
114,2,Undirected
146,2,Undirected
179,2,Undirected
192,2,Undirected
219,2,Undirected
227,2,Undirected
240,2,Undirected
251,2,Undirected
279,2,Undirected
282,2,Undirected
315,2,Undirected
317,2,Undirected
339,2,Undirected
345,2,Undirected
354,2,Undirected
369,2,Undirected
370,2,Undirected
413,2,Undirected
421,2,Undirected
433,2,Undirected
440,2,Undirected
464,2,Undirected
490,2,Undirected
494,2,Undirected
502,2,Undirected
573,2,Undirected
594,2,Undirected
603,2,Undirected
620,2,Undirected
673,2,Undirected
674,2,Undirected
721,2,Undirected
724,2,Undirected
739,2,Undirected
753,2,Undirected
806,2,Undirected
810,2,Undirected
836,2,Undirected
875,2,Undirected
887,2,Undirected
911,2,Undirected
941,2,Undirected
980,2,Undirected
1007,2,Undirected
1013,2,Undirected
1029,2,Undirected
1066,2,Undirected
1084,2,Undirected
1107,2,Undirected
1114,2,Undirected
1117,2,Undirected
1118,2,Undirected
1127,2,Undirected
1136,2,Undirected
1153,2,Undirected
1156,2,Undirected
1193,2,Undirected
1203,2,Undirected
1224,2,Undirected
1232,2,Undirected
1240,2,Undirected
1241,2,Undirected
1339,2,Undirected
1362,2,Undirected
1390,2,Undirected
1437,2,Undirected
1438,2,Undirected
1452,2,Undirected
1518,2,Undirected
1542,2,Undirected
1574,2,Undirected
1587,2,Undirected
1597,2,Undirected
1598,2,Undirected
1637,2,Undirected
1674,2,Undirected
1694,2,Undirected
1696,2,Undirected
1698,2,Undirected
1722,2,Undirected
1730,2,Undirected
1741,2,Undirected
1742,2,Undirected
1761,2,Undirected
1796,2,Undirected
1803,2,Undirected
1804,2,Undirected
1812,2,Undirected
1819,2,Undirected
1843,2,Undirected
1863,2,Undirected
1871,2,Undirected
1875,2,Undirected
1893,2,Undirected
1986,2,Undirected
2004,2,Undirected
2030,2,Undirected
2033,2,Undirected
2049,2,Undirected
2054,2,Undirected
2095,2,Undirected
2124,2,Undirected
2132,2,Undirected
2158,2,Undirected
2173,2,Undirected
2183,2,Undirected
2194,2,Undirected
2203,2,Undirected
2212,2,Undirected
2219,2,Undirected
2237,2,Undirected
2239,2,Undirected
2321,2,Undirected
2329,2,Undirected
2344,2,Undirected
2373,2,Undirected
2390,2,Undirected
2417,2,Undirected
2431,2,Undirected
2444,2,Undirected
2453,2,Undirected
2480,2,Undirected
2519,2,Undirected
2524,2,Undirected
2525,2,Undirected
2540,2,Undirected
2602,2,Undirected
7,3,Undirected
12,3,Undirected
13,3,Undirected
36,3,Undirected
44,3,Undirected
54,3,Undirected
57,3,Undirected
86,3,Undirected
92,3,Undirected
93,3,Undirected
106,3,Undirected
110,3,Undirected
118,3,Undirected
151,3,Undirected
